Name,GitHub,TikTok,Twitch,Twitter,YouTube
Matt,,@matthewmyoung,,@matthewmyoung1,
Rafal,,@cs.rafal,,@cs_rafal,
Justi,,@engineer.justi,,n/a,
Hana,,@trendinganalytics,,@hanalytx,
Marissa,,@cosmiczig,,@cosmiczig,
John,Vandivier,@johnvandivier,JohnVandivier,@JohnVandivier,JohnVandivier
Vincent,,@codewithvincent,,,
Josh,,@joshhenny,,@HendrixJoshua,
Darrien,,@rushinglabs,,@meddlin_dev,
Robert,,@devmakers,,,
Kody,,@tech_kody,@tech_kody,
Thaier,,@halaltech_,,,
Katie,,@kt.dbs,ktdbs,,
Jeremy,,@jeremy_codes,@j1228851,
Alex,,@techrally,,@TheTechRally,techrally
